benchmark,model_key,policy,metric,value,rank,n_tasks
Terminal-Bench,qwen35b,SS-p,latency_ratio,1.6610003785382277,9.0,30
Terminal-Bench,qwen35b,TRC+SU,latency_ratio,1.737204255386318,10.0,27
Terminal-Bench,qwen35b,TRC+SS,latency_ratio,1.6059394845234445,8.0,32
Terminal-Bench,qwen35b,OTRC,latency_ratio,1.1462394057804115,2.0,32
Terminal-Bench,qwen35b,OTRC+TR,latency_ratio,1.4830859855107967,6.0,32
Terminal-Bench,qwen35b,OTRC+SU-p,latency_ratio,1.5345543673849698,7.0,29
Terminal-Bench,qwen35b,OTRC+SS-p,latency_ratio,1.8275883292106208,11.0,28
Terminal-Bench,qwen35b,FC,billed_input_ratio,1.0,6.0,34
Terminal-Bench,qwen35b,TR,billed_input_ratio,0.9629958172516128,4.0,33
Terminal-Bench,qwen35b,TRC,billed_input_ratio,1.0375667452805954,7.0,33
Terminal-Bench,qwen35b,SU,billed_input_ratio,1.317288658443564,13.0,25
Terminal-Bench,qwen35b,SU-p,billed_input_ratio,0.982204992140179,5.0,30
Terminal-Bench,qwen35b,SS,billed_input_ratio,1.0398744541936262,9.0,28
Terminal-Bench,qwen35b,SS-p,billed_input_ratio,1.0583458725223922,11.0,30
Terminal-Bench,qwen35b,TRC+SU,billed_input_ratio,1.0384409520313824,8.0,27
Terminal-Bench,qwen35b,TRC+SS,billed_input_ratio,0.8241738048249656,2.0,32
Terminal-Bench,qwen35b,OTRC,billed_input_ratio,1.2660098211961923,12.0,32
Terminal-Bench,qwen35b,OTRC+TR,billed_input_ratio,0.7687628612167512,1.0,32
Terminal-Bench,qwen35b,OTRC+SU-p,billed_input_ratio,0.9522514594035884,3.0,29
Terminal-Bench,qwen35b,OTRC+SS-p,billed_input_ratio,1.0532118952146323,10.0,28
Terminal-Bench,devstral24b,FC,resolve,33.333333333333336,1.0,40
Terminal-Bench,devstral24b,TR,resolve,27.500000000000004,5.0,40
Terminal-Bench,devstral24b,TRC,resolve,28.33333333333333,4.0,40
Terminal-Bench,devstral24b,SU,resolve,29.999999999999996,2.0,40
Terminal-Bench,devstral24b,SU-p,resolve,24.999999999999996,7.0,40
Terminal-Bench,devstral24b,SS,resolve,20.83333333333333,9.5,40
Terminal-Bench,devstral24b,SS-p,resolve,25.833333333333336,6.0,40
Terminal-Bench,devstral24b,TRC+SU,resolve,17.5,13.0,40
Terminal-Bench,devstral24b,TRC+SS,resolve,19.166666666666668,11.0,40
Terminal-Bench,devstral24b,OTRC,resolve,29.166666666666668,3.0,40
Terminal-Bench,devstral24b,OTRC+TR,resolve,20.833333333333336,9.5,40
Terminal-Bench,devstral24b,OTRC+SU-p,resolve,18.33333333333333,12.0,40
Terminal-Bench,devstral24b,OTRC+SS-p,resolve,21.66666666666666,8.0,40
Terminal-Bench,devstral24b,FC,latency_ratio,1.0,1.0,38
Terminal-Bench,devstral24b,TR,latency_ratio,1.0703782957382877,3.0,35
Terminal-Bench,devstral24b,TRC,latency_ratio,1.0600810820844595,2.0,34
Terminal-Bench,devstral24b,SU,latency_ratio,1.3348954455754078,6.0,32
Terminal-Bench,devstral24b,SU-p,latency_ratio,1.4688774316047095,10.0,33
Terminal-Bench,devstral24b,SS,latency_ratio,1.7059667914939616,13.0,30
Terminal-Bench,devstral24b,SS-p,latency_ratio,1.5635547971020565,12.0,37
Terminal-Bench,devstral24b,TRC+SU,latency_ratio,1.4140819119250965,8.0,31
Terminal-Bench,devstral24b,TRC+SS,latency_ratio,1.5506755682215758,11.0,28
Terminal-Bench,devstral24b,OTRC,latency_ratio,1.1788769195145825,4.0,35
Terminal-Bench,devstral24b,OTRC+TR,latency_ratio,1.1911135764629626,5.0,36
Terminal-Bench,devstral24b,OTRC+SU-p,latency_ratio,1.4171245830840455,9.0,31
Terminal-Bench,devstral24b,OTRC+SS-p,latency_ratio,1.3836087606240886,7.0,31
Terminal-Bench,devstral24b,FC,billed_input_ratio,1.0,4.0,38
Terminal-Bench,devstral24b,TR,billed_input_ratio,0.9974942366300448,3.0,35
Terminal-Bench,devstral24b,TRC,billed_input_ratio,0.9803394581559112,2.0,34
Terminal-Bench,devstral24b,SU,billed_input_ratio,0.9163665186027592,1.0,32
Terminal-Bench,devstral24b,SU-p,billed_input_ratio,1.0214702312565402,5.0,33
Terminal-Bench,devstral24b,SS,billed_input_ratio,1.292126108344077,11.0,30
Terminal-Bench,devstral24b,SS-p,billed_input_ratio,1.1153276830228118,9.0,37
Terminal-Bench,devstral24b,TRC+SU,billed_input_ratio,1.0359264251054294,7.0,31
Terminal-Bench,devstral24b,TRC+SS,billed_input_ratio,1.4370719436592936,13.0,28
Terminal-Bench,devstral24b,OTRC,billed_input_ratio,1.162167899466653,10.0,35
Terminal-Bench,devstral24b,OTRC+TR,billed_input_ratio,1.0238370475029592,6.0,36
Terminal-Bench,devstral24b,OTRC+SU-p,billed_input_ratio,1.1139411418470682,8.0,31
Terminal-Bench,devstral24b,OTRC+SS-p,billed_input_ratio,1.378178340746252,12.0,31
Terminal-Bench,glm47flash,FC,resolve,32.49999999999999,1.0,40
Terminal-Bench,glm47flash,TR,resolve,18.33333333333333,4.0,40
Terminal-Bench,glm47flash,TRC,resolve,24.16666666666667,3.0,40
Terminal-Bench,glm47flash,SU,resolve,10.0,13.0,40
Terminal-Bench,glm47flash,SU-p,resolve,16.666666666666664,6.0,40
Terminal-Bench,glm47flash,SS,resolve,11.666666666666666,10.0,40
Terminal-Bench,glm47flash,SS-p,resolve,12.499999999999996,9.0,40
Terminal-Bench,glm47flash,TRC+SU,resolve,10.833333333333336,11.5,40
Terminal-Bench,glm47flash,TRC+SS,resolve,16.666666666666668,6.0,40
Terminal-Bench,glm47flash,OTRC,resolve,27.500000000000004,2.0,40
Terminal-Bench,glm47flash,OTRC+TR,resolve,16.666666666666664,6.0,40
Terminal-Bench,glm47flash,OTRC+SU-p,resolve,10.833333333333336,11.5,40
Terminal-Bench,glm47flash,OTRC+SS-p,resolve,15.0,8.0,40
Terminal-Bench,glm47flash,FC,latency_ratio,1.0,1.0,33
Terminal-Bench,glm47flash,TR,latency_ratio,1.4000248512012805,8.0,31
Terminal-Bench,glm47flash,TRC,latency_ratio,1.299338458726201,4.0,31
