task_name,primitive,token_budget,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears,ablation,depth
django__django-11292,SU-partial,12000,2,django__django,,Submitted,False,silent_crash,40,307026,301879,5147,811.05,144.604,3.615,1,0.3035634601899662,11914,7.916,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,TRC+SU,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1017386,1006325,11061,376.96,317.572,2.541,3,0.6607057145063642,11182,3.737,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,TRC,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1062896,1047795,15101,459.25,436.843,3.495,2,0.4920652659781686,0,0.0,2,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,OTRC+SU-partial,12000,2,django__django,,Submitted,False,silent_crash,22,69720,68097,1623,59.44,43.056,2.153,0,1.0,0,0.0,0,17,qwen25-7b-budgeted-12000,0.5
django__django-11299,OTRC+SS-partial,12000,2,django__django,,Submitted,False,silent_crash,14,48130,47017,1113,41.6,31.89,2.453,0,1.0,0,0.0,0,9,qwen25-7b-budgeted-12000,0.5
django__django-11299,SS,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1000348,983666,16682,532.13,459.4,3.675,3,0.1745437469257853,36373,19.957,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,OTRC+SS-partial,12000,1,django__django,,Submitted,False,silent_crash,19,92570,90548,2022,72.61,59.024,3.107,0,1.0,0,0.0,0,14,qwen25-7b-budgeted-12000,0.5
django__django-11299,TRC+SS,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1111464,1098138,13326,419.78,390.517,3.124,4,0.6675251171599627,10989,7.526,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,TRC+SS,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1161087,1144810,16277,532.9,490.848,3.927,8,0.705758089792757,11024,13.54,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,TRC+SU,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1100679,1089156,11523,616.82,333.689,2.691,4,0.694970957461525,11229,10.906,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,SS-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1016649,1005310,11339,343.29,318.935,2.551,1,0.34761747187293185,8956,6.024,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,OTRC+TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1010183,997286,12897,400.05,379.706,3.038,1,0.49892579738886134,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-12273,TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,991171,981270,9901,303.6,282.676,2.261,1,0.49809255266213304,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,SS-partial,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1018406,998224,20182,613.12,508.361,4.067,3,0.39404769722869587,26188,73.421,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1226614,1213885,12729,403.53,383.514,3.068,5,0.4984638012747181,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,SS,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,897226,886357,10869,459.94,297.506,2.38,2,0.14501232708969392,24224,15.387,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,TRC,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1107467,1096672,10795,337.87,316.786,2.534,2,0.4971021933202133,0,0.0,2,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,SU-full,12000,2,django__django,,,False,silent_crash,68,539746,532320,7426,1500.0,210.043,3.089,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11292,SU-partial,12000,1,django__django,,,False,silent_crash,109,906590,896507,10083,1500.0,276.448,2.536,1,0.34148843816589064,9600,14.234,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,TRC,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1092286,1079586,12700,383.33,361.69,2.894,2,0.4947545179279924,0,0.0,2,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,OTRC+TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1041050,1026015,15035,815.57,443.977,3.552,2,0.4967607254757455,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-12273,SS,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1098760,1085359,13401,555.8,389.551,3.116,3,0.14018679559453245,37436,21.625,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,OTRC+TR,12000,2,django__django,,Submitted,False,silent_crash,12,32395,31107,1288,40.01,33.519,2.793,0,1.0,0,0.0,0,7,qwen25-7b-budgeted-12000,0.5
django__django-12273,TRC+SS,12000,2,django__django,False,Submitted,True,submitted_unresolved,98,831826,820690,11136,358.11,322.859,3.328,2,0.448182952020318,11422,9.957,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,TRC+SU,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1024664,1012007,12657,615.24,358.955,2.872,3,0.634466088911597,11651,3.971,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,SU-full,12000,2,django__django,,,False,silent_crash,123,1062158,1048974,13184,1500.0,354.249,2.88,2,0.20154654475408793,22501,29.536,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,TRC+SS,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,882214,869879,12335,631.74,350.25,2.802,3,0.6796397892042055,11938,5.954,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,SS-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1125657,1114174,11483,382.2,322.544,2.601,2,0.3233927558892564,19156,12.413,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,OTRC+TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1102934,1088808,14126,444.81,418.334,3.374,2,0.4956841468580575,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-11299,SU-partial,12000,1,django__django,,,False,silent_crash,110,968806,955194,13612,1500.01,381.42,3.467,1,0.3634083248412636,9345,15.985,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,OTRC+SU-partial,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,968312,957661,10651,445.29,291.468,2.332,1,0.3696856165499267,9362,23.673,0,125,qwen25-7b-budgeted-12000,0.5
django__django-11299,SU-partial,12000,2,django__django,,,False,silent_crash,91,807797,795141,12656,1500.01,357.192,3.925,1,0.3596561521089823,9749,15.034,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,SS-partial,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,998266,985459,12807,746.14,358.908,2.871,1,0.3069274969333075,11809,6.927,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,991737,981854,9883,302.92,277.844,2.223,1,0.49489499460446584,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1140379,1129590,10789,327.18,307.116,2.457,2,0.495277887603923,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11299,OTRC+SU-partial,12000,1,django__django,,,False,silent_crash,81,631582,622619,8963,1500.0,260.042,3.21,0,1.0,0,0.0,0,91,qwen25-7b-budgeted-12000,0.5
django__django-12273,OTRC+SS-partial,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,934283,918409,15874,489.52,453.263,3.655,1,0.34026103583007733,9057,10.266,0,120,qwen25-7b-budgeted-12000,0.5
django__django-12273,TRC+SU,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1247019,1235401,11618,1108.54,370.139,2.961,13,0.7058130510735159,11599,4.066,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,OTRC+SS-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,964742,948148,16594,533.56,471.914,3.806,1,0.3327590450406104,9139,8.054,0,123,qwen25-7b-budgeted-12000,0.5
django__django-13012,SU-full,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,905082,893219,11863,373.82,325.486,2.604,1,0.15379559645087085,11331,8.457,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,SU-full,12000,1,django__django,,,False,silent_crash,83,706482,692815,13667,1500.0,275.486,3.36,6,0.1782334922290604,71618,150.446,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,SU-full,12000,2,django__django,,,False,silent_crash,75,601791,591480,10311,1500.01,242.838,3.238,3,0.18175632634075609,36146,72.554,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,SS-partial,12000,1,django__django,,Submitted,False,silent_crash,9,25637,24661,976,37.94,26.343,3.293,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,TRC,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1108408,1098403,10005,307.79,286.394,2.291,1,0.49941734642916596,0,0.0,1,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,OTRC+SU-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,829966,815085,14881,778.26,434.707,4.22,1,0.3406540557871113,9431,11.313,0,123,qwen25-7b-budgeted-12000,0.5
django__django-13012,TRC,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1019809,1008844,10965,338.02,310.348,2.483,1,0.4953657729228732,0,0.0,1,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,SS,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,940411,924965,15446,603.52,439.916,3.519,2,0.15624683154909136,22238,17.21,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,TRC+SU,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1212117,1198656,13461,449.71,401.191,3.21,3,0.5390043794467024,11413,4.676,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,SS,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1053294,1032411,20883,659.79,477.2,3.818,2,0.3288008771011135,22755,130.569,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,OTRC+TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,712704,703220,9484,332.75,303.721,2.449,1,0.39013639387890886,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-13012,OTRC+SU-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,879359,872282,7077,224.93,205.395,1.643,0,1.0,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-13012,SU-full,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,951683,937675,14008,798.65,397.448,3.18,1,0.14048206188847348,11831,4.429,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,TRC+SU,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,885012,871624,13388,559.62,382.981,3.064,2,0.5426443254605451,11550,4.963,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,SU-full,12000,2,django__django,,Submitted,False,silent_crash,18,85350,83618,1732,56.41,49.555,2.753,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,TR,12000,2,django__django,False,Submitted,True,submitted_unresolved,36,245843,242967,2876,104.34,88.114,2.592,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,SU-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1045562,1031739,13823,1457.16,368.657,2.949,2,0.3447256952432895,19567,30.864,0,0,qwen25-7b-budgeted-12000,0.5
django__django-12273,SU-partial,12000,1,django__django,,,False,silent_crash,111,930799,918691,12108,1500.0,347.52,3.131,1,0.30686528497409327,11663,6.071,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,TRC+SS,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1106417,1086365,20052,638.27,564.026,4.512,6,0.6053061783317062,22507,46.32,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,OTRC+TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1025634,1010894,14740,472.84,451.887,3.615,2,0.49396458369296437,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-13012,SS-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1039763,1029439,10324,571.68,287.701,2.302,1,0.3199942832642561,10692,6.506,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,OTRC+SS-partial,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,925586,913636,11950,372.91,341.291,2.752,1,0.33624417831004655,9114,8.996,0,120,qwen25-7b-budgeted-12000,0.5
django__django-13012,TRC+SS,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1083157,1067024,16133,698.11,493.548,4.079,19,0.7201582056866017,23154,24.653,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1048076,1036402,11674,363.82,342.9,2.743,1,0.4963672391017173,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,SU-partial,12000,2,django__django,False,Submitted,True,submitted_unresolved,10,63439,62656,783,31.35,24.71,2.471,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,OTRC+SS-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,920383,906859,13524,420.2,386.492,3.092,1,0.3460965927886206,9111,12.352,0,120,qwen25-7b-budgeted-12000,0.5
django__django-13964,TRC,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,989404,980920,8484,269.54,248.413,1.987,1,0.49543037554004654,0,0.0,1,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,SU-full,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,958272,947620,10652,384.24,285.575,2.285,1,0.1869468111506328,11440,19.188,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,SS,12000,1,django__django,,Submitted,False,silent_crash,96,687905,679344,8561,425.9,247.44,2.578,1,0.14951923076923077,11609,6.291,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13012,SU-partial,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1020685,1005429,15256,851.47,414.771,3.345,2,0.362370263400855,17762,35.308,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,TRC,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1088217,1077061,11156,380.37,359.053,2.872,4,0.4749624772920059,0,0.0,3,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,SS,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,977359,967180,10179,448.39,296.947,2.376,1,0.15367065917053696,11510,7.14,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,OTRC+TR,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,963276,954524,8752,278.13,257.246,2.058,1,0.5,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-13964,SS-partial,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,967783,958800,8983,346.38,255.749,2.046,1,0.32486457618066683,10037,6.452,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,OTRC+TR,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,951236,941488,9748,316.03,295.698,2.366,1,0.49771081328560723,0,0.0,0,120,qwen25-7b-budgeted-12000,0.5
django__django-14580,SU-full,12000,1,django__django,,Submitted,False,silent_crash,7,15625,14983,642,21.87,16.144,2.306,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-14580,SS,12000,1,django__django,,Submitted,False,silent_crash,8,17728,17125,603,22.47,16.08,2.01,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,TRC+SS,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,1208553,1194764,13789,527.93,461.582,3.693,17,0.7138614964773128,11509,9.688,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,TRC+SU,12000,2,django__django,,Submitted,False,silent_crash,124,1042307,1031965,10342,575.56,311.151,2.53,3,0.636816834558919,11552,4.535,0,0,qwen25-7b-budgeted-12000,0.5
django__django-14580,TRC,12000,2,django__django,,Submitted,False,silent_crash,10,22784,22105,679,23.17,16.982,1.698,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-14580,TRC+SU,12000,1,django__django,,Submitted,False,silent_crash,7,15460,14840,620,22.57,16.584,2.369,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,TRC+SS,12000,2,django__django,,LimitsExceeded,False,limits_exceeded,125,1019865,1009192,10673,600.17,316.531,2.532,4,0.7481714609398931,11787,6.603,0,0,qwen25-7b-budgeted-12000,0.5
django__django-13964,OTRC+SS-partial,12000,1,django__django,,LimitsExceeded,False,limits_exceeded,125,821291,810579,10712,338.61,308.714,2.47,1,0.3361856179035708,9264,9.249,0,120,qwen25-7b-budgeted-12000,0.5
django__django-14580,TRC+SU,12000,2,django__django,,Submitted,False,silent_crash,12,39561,38596,965,36.41,27.644,2.513,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-14580,TRC+SS,12000,2,django__django,False,Submitted,True,submitted_unresolved,10,23691,22598,1093,37.26,28.3,3.144,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-14580,SU-partial,12000,1,django__django,,Submitted,False,silent_crash,13,31141,30019,1122,38.4,29.731,2.478,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
