task_name,primitive,token_budget,depth,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears
scikit-learn__scikit-learn-25102,FC,999999999,0.5,2,scikit-learn__scikit-learn,False,,False,silent_crash,44,718877,698919,19958,1500.02,1266.693,28.788,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-26194,FC,999999999,0.5,2,scikit-learn__scikit-learn,True,Submitted,True,resolved,53,675308,668837,6471,502.37,387.966,7.607,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-25973,FC,999999999,0.5,1,scikit-learn__scikit-learn,False,LimitsExceeded,False,limits_exceeded,125,1804607,1791224,13383,855.43,824.041,6.592,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-26194,FC,999999999,0.5,1,scikit-learn__scikit-learn,False,Submitted,True,submitted_unresolved,44,588851,573496,15355,737.34,640.941,14.906,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-9288,FC,999999999,0.5,2,scikit-learn__scikit-learn,True,Submitted,True,resolved,47,1072777,1061612,11165,577.84,408.774,8.886,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-9288,FC,999999999,0.5,1,scikit-learn__scikit-learn,True,Submitted,True,resolved,62,933848,921924,11924,595.66,451.721,7.405,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-25973,FC,999999999,0.5,2,scikit-learn__scikit-learn,False,Submitted,True,submitted_unresolved,109,2304301,2289172,15129,1160.45,772.441,7.357,0,1.0,0,0.0,0,0
django__django-11066,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,7,25124,24081,1043,25.33,20.696,2.957,0,1.0,0,0.0,0,0
django__django-11066,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,10,36960,35511,1449,35.05,30.02,3.002,0,1.0,0,0.0,0,0
django__django-11095,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,39,415322,410577,4745,190.72,176.202,4.637,0,1.0,0,0.0,0,0
django__django-11095,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,48,689259,680761,8498,322.44,293.416,6.113,0,1.0,0,0.0,0,0
django__django-11087,FC,999999999,0.5,2,django__django,False,Submitted,True,submitted_unresolved,85,1906561,1891451,15110,540.07,513.953,6.118,0,1.0,0,0.0,0,0
django__django-11292,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,28,240879,236699,4180,109.4,98.317,3.641,0,1.0,0,0.0,0,0
django__django-11292,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,24,188603,183603,5000,197.09,118.401,5.148,0,1.0,0,0.0,0,0
django__django-11299,FC,999999999,0.5,1,django__django,False,Submitted,True,submitted_unresolved,60,1101421,1094316,7105,385.45,255.845,4.336,0,1.0,0,0.0,0,0
django__django-11299,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,70,1468365,1458746,9619,416.39,393.919,5.709,0,1.0,0,0.0,0,0
django__django-11087,FC,999999999,0.5,1,django__django,False,Submitted,True,submitted_unresolved,88,1658020,1639384,18636,1441.87,661.375,8.267,0,1.0,0,0.0,0,0
django__django-11433,FC,999999999,0.5,1,django__django,False,Submitted,True,submitted_unresolved,122,3124651,3097272,27379,1243.82,1004.019,8.367,0,1.0,0,0.0,0,0
django__django-12143,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,24,124256,120150,4106,99.81,93.84,3.91,0,1.0,0,0.0,0,0
django__django-12143,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,19,98641,94463,4178,184.77,86.438,5.085,0,1.0,0,0.0,0,0
django__django-11734,FC,999999999,0.5,2,django__django,False,,False,silent_crash,90,1981854,1966756,15098,1500.0,537.747,6.722,0,1.0,0,0.0,0,0
django__django-12273,FC,999999999,0.5,1,django__django,False,Submitted,True,submitted_unresolved,72,1389195,1363385,25810,1298.17,682.521,10.5,0,1.0,0,0.0,0,0
django__django-12273,FC,999999999,0.5,2,django__django,False,,False,silent_crash,82,1560943,1536329,24614,1500.0,649.847,8.902,0,1.0,0,0.0,0,0
django__django-13012,FC,999999999,0.5,2,django__django,False,Submitted,True,submitted_unresolved,44,611902,605064,6838,254.4,236.823,5.508,0,1.0,0,0.0,0,0
django__django-13012,FC,999999999,0.5,1,django__django,False,Submitted,True,submitted_unresolved,82,1281609,1267207,14402,563.31,508.3,6.275,0,1.0,0,0.0,0,0
django__django-13964,FC,999999999,0.5,1,django__django,False,LimitsExceeded,False,limits_exceeded,125,2267456,2254508,12948,623.26,486.316,3.891,0,1.0,0,0.0,0,0
django__django-13964,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,114,3227559,3203002,24557,928.07,897.037,7.938,0,1.0,0,0.0,0,0
django__django-14580,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,62,1021530,1012423,9107,301.55,281.321,4.689,0,1.0,0,0.0,0,0
django__django-14580,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,60,1177501,1167741,9760,451.11,320.069,5.615,0,1.0,0,0.0,0,0
django__django-14915,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,19,98209,95393,2816,133.11,51.541,2.863,0,1.0,0,0.0,0,0
django__django-14915,FC,999999999,0.5,2,django__django,False,Submitted,True,submitted_unresolved,35,256283,252575,3708,97.45,85.397,2.44,0,1.0,0,0.0,0,0
django__django-14999,FC,999999999,0.5,2,django__django,False,Submitted,True,submitted_unresolved,63,1310229,1301371,8858,496.43,271.13,4.445,0,1.0,0,0.0,0,0
django__django-14999,FC,999999999,0.5,1,django__django,False,Submitted,True,submitted_unresolved,68,1491944,1474668,17276,848.23,524.601,8.197,0,1.0,0,0.0,0,0
django__django-17087,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,21,144626,141246,3380,140.12,127.614,6.381,0,1.0,0,0.0,0,0
sympy__sympy-11618,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,33,246441,242486,3955,265.26,144.937,4.529,0,1.0,0,0.0,0,0
sympy__sympy-11618,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,86,1011518,1001588,9930,352.18,332.501,3.912,0,1.0,0,0.0,0,0
django__django-17087,FC,999999999,0.5,1,django__django,False,LimitsExceeded,False,limits_exceeded,125,2021876,2011285,10591,677.8,434.717,3.534,0,1.0,0,0.0,0,0
sympy__sympy-12419,FC,999999999,0.5,1,sympy__sympy,False,,False,silent_crash,120,2013742,1989233,24509,1500.0,715.613,6.333,0,1.0,0,0.0,0,0
sympy__sympy-13031,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,70,691699,680850,10849,541.67,315.569,4.641,0,1.0,0,0.0,0,0
sympy__sympy-13031,FC,999999999,0.5,2,sympy__sympy,False,LimitsExceeded,False,limits_exceeded,125,2026736,2010758,15978,703.2,507.193,4.124,0,1.0,0,0.0,0,0
sympy__sympy-13091,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,59,686569,679258,7311,279.05,220.224,3.797,0,1.0,0,0.0,0,0
sympy__sympy-13091,FC,999999999,0.5,1,sympy__sympy,False,LimitsExceeded,False,limits_exceeded,125,2186301,2162487,23814,854.59,732.366,6.053,0,1.0,0,0.0,0,0
sympy__sympy-13372,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,34,186106,181684,4422,139.78,126.54,3.835,0,1.0,0,0.0,0,0
sympy__sympy-13372,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,47,380495,375112,5383,180.31,150.417,3.27,0,1.0,0,0.0,0,0
sympy__sympy-13647,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,62,572125,562950,9175,440.49,236.136,3.936,0,1.0,0,0.0,0,0
sympy__sympy-13757,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,87,1442101,1426833,15268,522.41,403.545,4.692,0,1.0,0,0.0,0,0
sympy__sympy-13757,FC,999999999,0.5,2,sympy__sympy,False,LimitsExceeded,False,limits_exceeded,125,1746057,1732436,13621,593.52,387.472,3.176,0,1.0,0,0.0,0,0
sympy__sympy-13798,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,68,1187292,1176181,11111,369.25,350.545,5.155,0,1.0,0,0.0,0,0
sympy__sympy-13647,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,62,841972,812424,29548,1354.59,800.492,14.294,0,1.0,0,0.0,0,0
sympy__sympy-13798,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,93,1127284,1116999,10285,476.03,372.313,4.047,0,1.0,0,0.0,0,0
sympy__sympy-15017,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,25,203951,199282,4669,140.82,122.376,5.321,0,1.0,0,0.0,0,0
sympy__sympy-15017,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,37,349373,344087,5286,253.69,146.033,4.056,0,1.0,0,0.0,0,0
sympy__sympy-15345,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,63,667755,659420,8335,273.45,248.027,4.0,0,1.0,0,0.0,0,0
sympy__sympy-15345,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,77,1213689,1199197,14492,795.84,386.44,5.294,0,1.0,0,0.0,0,0
sympy__sympy-17139,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,55,452415,445913,6502,199.03,176.97,3.218,0,1.0,0,0.0,0,0
sympy__sympy-17139,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,43,385916,379912,6004,168.37,153.533,3.571,0,1.0,0,0.0,0,0
sympy__sympy-17630,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,51,786143,775277,10866,300.97,283.097,5.551,0,1.0,0,0.0,0,0
sympy__sympy-18189,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,38,471840,464274,7566,209.09,188.274,5.088,0,1.0,0,0.0,0,0
sympy__sympy-18199,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,33,364690,358907,5783,245.9,196.107,6.537,0,1.0,0,0.0,0,0
sympy__sympy-18199,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,40,852674,843721,8953,302.34,285.697,7.142,0,1.0,0,0.0,0,0
sympy__sympy-17630,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,113,3043817,3011103,32714,1257.33,1017.711,9.169,0,1.0,0,0.0,0,0
sympy__sympy-18189,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,71,1874296,1841450,32846,1042.57,994.973,14.42,0,1.0,0,0.0,0,0
sympy__sympy-19637,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,23,112628,108952,3676,102.08,93.441,4.063,0,1.0,0,0.0,0,0
sympy__sympy-19637,FC,999999999,0.5,1,sympy__sympy,False,Submitted,True,submitted_unresolved,29,223099,216972,6127,170.08,157.593,5.434,0,1.0,0,0.0,0,0
sympy__sympy-24066,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,43,599203,591364,7839,269.74,182.554,4.347,0,1.0,0,0.0,0,0
sympy__sympy-24213,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,26,204241,199480,4761,140.71,104.873,4.37,0,1.0,0,0.0,0,0
sympy__sympy-24213,FC,999999999,0.5,2,sympy__sympy,True,Submitted,True,resolved,23,200373,194892,5481,123.53,112.75,4.902,0,1.0,0,0.0,0,0
sympy__sympy-24066,FC,999999999,0.5,1,sympy__sympy,True,Submitted,True,resolved,116,1582741,1561079,21662,941.22,541.758,4.881,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-10297,FC,999999999,0.5,1,scikit-learn__scikit-learn,True,Submitted,True,resolved,38,431059,423872,7187,182.29,158.872,4.181,0,1.0,0,0.0,0,0
sympy__sympy-24443,FC,999999999,0.5,2,sympy__sympy,False,Submitted,True,submitted_unresolved,40,492777,481973,10804,418.73,263.808,6.942,0,1.0,0,0.0,0,0
scikit-learn__scikit-learn-10297,FC,999999999,0.5,2,scikit-learn__scikit-learn,True,Submitted,True,resolved,41,581851,574535,7316,235.27,207.476,5.06,0,1.0,0,0.0,0,0
